Geography,Transmission,Disease Type,Symptoms,Disease Name,ICD Code, Disease Group
South Asia,"waterborne, fecal-oral, poor sanitation",bacterial,"profuse diarrhea, dehydration, shock, vomiting, rapid heart rate, low blood pressure",Cholera,A00,Intestinal Infectious Diseases
Global/Developing Nations,"contaminated food, poor hygiene, fecal-oral",bacterial,"sustained high fever, headache, abdominal pain, rose spots, malaise, constipation",Typhoid Fever,A01,Intestinal Infectious Diseases
Americas,"contaminated food, poultry, pet reptiles",bacterial,"diarrhea, abdominal cramps, fever, vomiting, nausea, bloody stool",Other salmonella infections,A02,Intestinal Infectious Diseases
Sub-Saharan Africa,"fecal-oral, direct contact, waterborne",bacterial,"bloody diarrhea, abdominal cramps, fever, tenesmus, dehydration, vomiting",Shigellosis,A03,Intestinal Infectious Diseases
Global,"ingestion, contaminated food, poor cooking",bacterial,"diarrhea, cramping, nausea, vomiting, fever, abdominal tenderness",Other bacterial intestinal infections,A04,Intestinal Infectious Diseases
Global,"toxins, improper storage, raw foods",bacterial,"rapid onset, nausea, vomiting, abdominal pain, dizziness, weakness",Other bacterial food poisoning,A05,Intestinal Infectious Diseases
Indian Subcontinent,"contaminated water, fecal-oral, poor sanitation",parasitic,"bloody diarrhea, stomach pain, fever, fatigue, weight loss, liver abscess",Amoebiasis,A06,Intestinal Infectious Diseases
Americas/Europe,"waterborne, direct contact, host-to-host",parasitic,"watery diarrhea, bloating, gas, cramps, greasy stools, weight loss",Other protozoal intestinal diseases,A07,Intestinal Infectious Diseases
Global,"airborne droplets, fecal-oral, fomites",viral,"vomiting, watery diarrhea, low-grade fever, abdominal cramps, nausea, muscle aches",Viral and other specified intestinal infections,A08,Intestinal Infectious Diseases
Global,"fecal-oral, contact, contaminated food",viral,"diarrhea, vomiting, dehydration, abdominal discomfort, fever, loss of appetite","Infectious gastroenteritis and colitis, unspecified",A09,Intestinal Infectious Diseases
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis confirmed,A15,Tuberculosis
Southeast Asia,"airborne droplets, prolonged contact, coughing",bacterial,"chronic cough, chest pain, fever, night sweats, weight loss, fatigue",Respiratory tuberculosis not confirmed,A16,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"severe headache, neck stiffness, confusion, vision changes, fever, seizures",Tuberculosis of nervous system,A17,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"local pain, fever, organ dysfunction, weight loss, fatigue, swollen glands",Tuberculosis of other organs,A18,Tuberculosis
Global/Immunocompromised,"airborne droplets, prolonged contact, coughing",bacterial,"high fever, chills, weakness, breathing issues, enlarged spleen, skin lesions",Miliary tuberculosis,A19,Tuberculosis
Central Asia,"flea bites, rodent contact, airborne",bacterial,"sudden fever, chills, headache, painful lymph nodes (buboes), weakness, coughing",Plague,A20,Certain Zootonic Bacterial Diseases
North America,"insect bites, handling animals, inhalation",bacterial,"fever, skin ulcer, swollen lymph nodes, headache, joint pain, nausea",Tularemia,A21,Certain Zootonic Bacterial Diseases
Global/Agricultural,"spores, contact with animals, contaminated products",bacterial,"skin sore, fever, chills, nausea, headache, difficulty breathing",Anthrax,A22,Certain Zootonic Bacterial Diseases
Mediterranean/Middle East,"unpasteurized dairy, animal contact, inhalation",bacterial,"undulating fever, joint pain, sweating, fatigue, back pain, loss of appetite",Brucellosis,A23,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, soil contact, inhalation",bacterial,"fever, muscle aches, chest pain, coughing, lung nodules, abscesses",Glanders and melioidosis,A24,Certain Zootonic Bacterial Diseases
Asia,"rat bite, rodent urine, contaminated food",bacterial,"fever, chills, vomiting, joint pain, rash, muscle aches",Rat-bite fever,A25,Certain Zootonic Bacterial Diseases
Global/Occupational,"handling infected meat, skin puncture, cuts",bacterial,"purple skin lesion, fever, joint pain, swollen lymph nodes, general illness, headache",Erysipeloid,A26,Certain Zootonic Bacterial Diseases
Southeast Asia,"contaminated water, animal urine, skin contact",bacterial,"high fever, headache, muscle aches, jaundice, vomiting, red eyes",Leptospirosis,A27,Certain Zootonic Bacterial Diseases
Global,"animal contact, bites, environmental",bacterial,"fever, localized swelling, headache, general weakness, nausea, joint pain",Other zoonotic bacterial diseases,A28,Certain Zootonic Bacterial Diseases
South America,"airborne droplets, close contact, prolonged exposure",bacterial,"skin lesions, nerve damage, muscle weakness, sensory loss, eye problems, nosebleeds",Leprosy [Hansen's disease],A30,Other Bacterial Diseases
Global/Immunocompromised,"environmental, soil contact, aerosols",bacterial,"lung disease, swollen lymph nodes, skin ulcers, fever, weight loss, fatigue",Infection due to other mycobacteria,A31,Other Bacterial Diseases
Global,"contaminated food, raw dairy, soil",bacterial,"fever, muscle aches, diarrhea, stiff neck, confusion, convulsions",Listeriosis,A32,Other Bacterial Diseases
Developing Nations,"non-sterile delivery, umbilical cord infection",bacterial,"muscle spasms, difficulty feeding, irritability, lockjaw, arching of back, seizures",Tetanus neonatorum,A33,Other Bacterial Diseases
Developing Nations,"non-sterile birth, wound infection",bacterial,"muscle spasms, lockjaw, stiff neck, fever, irritability, sweating",Obstetrical tetanus,A34,Other Bacterial Diseases
Global/Unvaccinated,"deep puncture wound, soil contamination",bacterial,"muscle spasms, lockjaw, stiff neck, headache, fever, excessive sweating",Other tetanus,A35,Other Bacterial Diseases
Global/Unvaccinated,"airborne droplets, direct contact, fomites",bacterial,"sore throat, fever, swollen neck glands, difficulty breathing, bluish skin, nasal discharge",Diphtheria,A36,Other Bacterial Diseases
Global/Infants,"airborne droplets, direct contact, coughing",bacterial,"severe coughing fits, vomiting after cough, ""whoop"" sound, runny nose, fatigue, apnea",Whooping cough,A37,Other Bacterial Diseases
Global,"airborne droplets, direct contact, saliva",bacterial,"sore throat, high fever, bright red rash, strawberry tongue, headache, chills",Scarlet fever,A38,Other Bacterial Diseases
Sub-Saharan Africa,"airborne droplets, saliva, close contact",bacterial,"sudden fever, stiff neck, severe headache, photophobia, rash, confusion",Meningococcal infection,A39,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Streptococcal septicaemia,A40,Other Bacterial Diseases
Global,"contact, wounds, bloodstream",bacterial,"high fever, shaking chills, rapid heart rate, confusion, low blood pressure, rapid breathing",Other septicaemia,A41,Other Bacterial Diseases
Global,"normal flora, dental procedure, trauma",bacterial,"painful swelling, abscesses, draining sinus tracts, fever, weight loss, fatigue",Actinomycosis,A42,Other Bacterial Diseases
Global/Immunocompromised,"inhalation, soil contact, skin trauma",bacterial,"persistent cough, chest pain, fever, shortness of breath, skin lesions, weight loss",Nocardiosis,A43,Other Bacterial Diseases
South America,"sandfly bite, cat scratch, lice",bacterial,"fever, headache, fatigue, swollen glands, skin lesions, body aches",Bartonellosis,A44,Other Bacterial Diseases
Global,"skin break, open wound, direct contact",bacterial,"bright red skin rash, raised border, fever, chills, headache, general malaise",Erysipelas,A46,Other Bacterial Diseases
Global,"various, contact, inhalation",bacterial,"fever, localized symptoms, headache, fatigue, inflammation, body aches","Other bacterial diseases, not elsewhere classified",A48,Other Bacterial Diseases
Global,"various, unknown source",bacterial,"fever, inflammation, fatigue, chills, body aches, localized pain",Bacterial infection of unspecified site,A49,Other Bacterial Diseases
Global,"mother-to-child, vertical transmission",bacterial,"rash, runny nose, hepatosplenomegaly, bone deformities, anemia, jaundice",Congenital syphilis,A50,STDs
Global,"sexual contact, direct contact",bacterial,"painless chancre, rash, swollen lymph nodes, fever, sore throat, hair loss",Early syphilis,A51,STDs
Global,"sexual contact, direct contact",bacterial,"neurological damage, heart problems, gummas, blindness, dementia, paralysis",Late syphilis,A52,STDs
Global,"sexual contact, direct contact",bacterial,"varied, non-specific symptoms, fever, malaise, rash, headache, muscle pain",Other and unspecified syphilis,A53,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, fever, joint swelling, sore throat",Gonococcal infection,A54,STDs
"Africa, Asia, S America","sexual contact, direct contact",bacterial,"swollen lymph nodes, fever, joint pain, headache, rectal pain, genital ulcers",Chlamydial lymphogranuloma (venereum),A55,STDs
Global,"sexual contact, mother-to-child",bacterial,"painful urination, discharge, abdominal pain, testicular pain, rectal pain, sore throat",Other sexually transmitted chlamydial diseases,A56,STDs
"Africa, Asia","sexual contact, direct contact",bacterial,"painful genital ulcer, swollen lymph nodes, fever, pus discharge, burning sensation, headache",Chancroid,A57,STDs
Developing Countries,"sexual contact, direct contact",bacterial,"progressive genital ulcers, bleeding, swelling, pain, lack of lymph node involvement",Granuloma inguinale,A58,STDs
Global,"sexual contact, direct contact, fomites",parasitic,"discharge, itching, painful urination, abdominal pain, foul odor, spotting",Trichomoniasis,A59,STDs
Global,"sexual contact, direct contact, skin-to-skin",viral,"painful blisters, ulcers, itching, flu-like symptoms, lymph node swelling, painful urination",Anogenital herpesviral infection,A60,STDs
Global,"sexual contact, direct contact",bacterial,"genital lesions, discharge, pain, itching, swelling, fever","Other predominantly sexually transmitted diseases, NEC",A63,STDs
Global,"sexual contact, unknown",viral,"discharge, pain, itching, rash, fever, malaise",Unspecified sexually transmitted disease,A64,STDs
"Africa, Middle East","non-sexual contact, oral contact, direct contact",bacterial,"skin lesions, bone damage, gummas, painless ulcers, nerve deafness, eye inflammation",Nonvenereal syphilis,A65,Other spirochaetal diseases
"Africa, Southeast Asia","skin contact, direct contact, non-sexual contact",bacterial,"painless skin nodules, bone pain, joint swelling, skin ulcers, fever, rash",Yaws,A66,Other spirochaetal diseases
Latin America,"skin contact, direct contact",bacterial,"initial skin lesion, white skin patches, hyperpigmentation, itching, rash, scaling",Pinta (carate),A67,Other spirochaetal diseases
"Africa, Asia","tick vector, louse vector, direct contact",bacterial,"recurring high fever, headache, muscle aches, nausea, rash, vomiting",Relapsing fevers,A68,Other spirochaetal diseases
Global,"tick bite, animal contact, direct contact",bacterial,"fever, rash, joint pain, headache, fatigue, neurological symptoms",Other spirochaetal infections,A69,Other spirochaetal diseases
Global/Birds,"avian aerosols, bird droppings, inhalation",bacterial,"fever, headache, dry cough, chest pain, muscle aches, chills",Infection due to Chlamydia psittaci,A70,Other diseases caused by clamydiae
"Africa, Middle East","eye discharge, direct contact, flies",bacterial,"painful eyes, inflammation, discharge, in-turned eyelashes, blurred vision, scarring",Trachoma,A71,Other diseases caused by clamydiae
Global,"various, contact, aerosols",bacterial,"fever, localized inflammation, headache, body aches, joint pain, fatigue",Other diseases caused by Chlamydiae,A74,Other diseases caused by clamydiae
Global/Poverty Areas,"louse vector, flea vector, body fluids",bacterial,"high fever, severe headache, rash, muscle aches, chills, confusion",Typhus fever,A75,Rickettsioses
Global/Americas,"tick vector, animal contact, insect bites",bacterial,"fever, headache, rash, muscle pain, nausea, vomiting",Spotted fever [rickettsioses],A77,Rickettsioses
Global/Livestock,"inhalation, contaminated milk, animal contact",bacterial,"high fever, severe headache, dry cough, chest pain, fatigue, night sweats",Q fever,A78,Rickettsioses
Global,"insect vector, animal contact",bacterial,"fever, rash, headache, muscle aches, malaise, chills",Other rickettsioses,A79,Rickettsioses
"Asia, Africa","fecal-oral, direct contact, waterborne",viral,"fever, fatigue, vomiting, stiff neck, muscle weakness, paralysis",Acute poliomyelitis,A80
Worldwide,"['Insufficient data', 'Awaiting diagnosis', 'Complex presentation']",Personality,"['Personality disturbance present', 'Does not fit any specific category', 'Unspecified personality disorder', 'Clinically significant impairment', 'Pervasive pattern of behavior', 'Distress']",Unspecified disorder of adult personality and behaviour,F69
Worldwide,"['Genetic conditions', 'Prenatal factors', 'Socioeconomic factors']",Developmental,"['IQ approx 50-69', 'Slower academic learning', 'Can achieve social/vocational skills', 'Needs some support', 'Concrete thinking', 'Social immaturity']",Mild intellectual disability,F70
Worldwide,"['Genetic conditions (e.g., Down syndrome)', 'Birth complications', 'Prenatal infections']",Developmental,"['IQ approx 35-49', 'Marked developmental delays', 'Can learn basic self-care', 'Requires moderate supervision/support', 'Simple communication skills', 'Limited academic skills']",Moderate intellectual disability,F71
Worldwide,"['Genetic syndromes', 'Severe birth trauma/hypoxia', 'Prenatal toxin exposure']",Developmental,"['IQ approx 20-34', 'Requires extensive support', 'Minimal communication skills', 'Can learn simple self-care tasks', 'Poor motor skills', 'Lifelong supervision needed']",Severe intellectual disability,F72
Worldwide,"['Severe neurological disorders', 'Genetic abnormalities', 'Extreme prenatal damage']",Developmental,"['IQ below 20', 'Requires 24/7 care and supervision', 'Minimal or no communication', 'Severe motor impairment', 'High incidence of physical health problems', 'Basic sensory-motor function only']",Profound intellectual disability,F73
Worldwide,"['Etiology varies', 'Comorbid conditions', 'Assessment difficulties']",Developmental,"['Significant intellectual deficits', 'Does not fit F70-F73 criteria', 'Atypical presentation', 'Associated with other disorders', 'Learning difficulties', 'Impaired adaptive functioning']",Other intellectual disabilities,F78
Worldwide,"['Insufficient data', 'Assessment incomplete', 'Provisional diagnosis']",Developmental,"['Intellectual disability is present', 'Severity is not yet determined', 'Unspecified cognitive deficits', 'Impaired adaptive functioning', 'Awaiting further testing', 'Used when assessment is difficult']",Unspecified intellectual disability,F79
Worldwide,"['Genetics', 'Neurological factors', 'Auditory processing issues']",Developmental,"['Delayed speech onset', 'Difficulty with articulation (phonology)', 'Limited vocabulary', 'Difficulty forming sentences (expressive)', 'Difficulty understanding language (receptive)', 'Normal non-verbal intelligence']",Specific developmental disorders of speech and language,F80
Worldwide,"['Genetics', 'Neurological factors', 'Unknown etiology']",Developmental,"['Difficulty with reading (dyslexia)', 'Difficulty with spelling', 'Difficulty with mathematics (dyscalculia)', 'Academic performance below IQ', 'Not due to lack of schooling', 'Co-occurs with other F8x disorders']",Specific developmental disorders of scholastic skills,F81
Worldwide,"['Neurological factors', 'Unknown etiology', 'Often co-occurs with F80/F81']",Developmental,"['Clumsiness', 'Poor coordination', 'Difficulty with fine motor skills (writing)', 'Difficulty with gross motor skills (sports)', 'Motor milestones may be delayed', 'Not due to other medical condition']",Specific developmental disorder of motor function,F82
Worldwide,"['Etiology unclear', 'Atypical presentation', 'Mixed symptoms']",Developmental,"['Mix of symptoms from F80, F81, F82', 'Does not meet full criteria for any single one', 'Overlapping developmental delays', 'Learning difficulties', 'Speech problems', 'Coordination issues']",Mixed specific developmental disorders,F83
Worldwide,"['Genetics', 'Neurological differences', 'Prenatal environment']",Developmental,"['Deficits in social-emotional reciprocity', 'Deficits in non-verbal communication', 'Repetitive motor movements/speech', 'Restricted, fixated interests', 'Sensory sensitivities', 'Need for routine (Autism Spectrum Disorder)']",Pervasive developmental disorders,F84
Worldwide,"['Etiology varies', 'Atypical presentation', 'Comorbid conditions']",Developmental,"['Developmental disorder present', 'Does not fit F80-F84', 'Atypical autism', 'Asperger syndrome (historical)', 'Rett syndrome (historical)', 'Childhood disintegrative disorder (historical)']",Other disorders of psychological development,F88
Worldwide,"['Insufficient data', 'Assessment incomplete', 'Provisional diagnosis']",Developmental,"['Developmental delay/disorder present', 'Specifics are undetermined', 'Unspecified developmental issue', 'Awaiting further assessment', 'Clinically significant impairment', 'Symptoms onset in childhood']",Unspecified disorder of psychological development,F89
Worldwide,"['Genetics', 'Brain structure/function', 'Neurotransmitter imbalance']",Developmental,"['Inattention (easily distracted, poor organization)', 'Hyperactivity (fidgeting, inability to sit still)', 'Impulsivity (interrupting, risk-taking)', 'Symptoms present in multiple settings', 'Functional impairment (school, social)', 'Onset before age 12']",Hyperkinetic disorders (ADHD),F90
Worldwide,"['Harsh parenting', 'Family dysfunction', 'Peer rejection', 'Genetic factors']",Behavioural,"['Aggression towards people/animals', 'Destruction of property (fire-setting)', 'Deceitfulness or theft', 'Serious violation of rules (truancy, running away)', 'Lack of remorse or empathy', 'Persistent pattern of anti-social behavior']",Conduct disorders,F91
Worldwide,"['Etiology unclear', 'Atypical presentation', 'Mixed symptoms']",Behavioural,"['Mix of conduct and emotional symptoms', 'Persistent depression/anxiety', 'Co-occurring aggression/defiance', 'Social withdrawal', 'Low self-esteem', 'Symptoms cause significant impairment']",Mixed disorders of conduct and emotions,F92
Worldwide,"['Genetics', 'Anxiety-prone temperament', 'Stressful life events']",Behavioural,"['Separation anxiety disorder', 'Phobic disorder of childhood', 'Social anxiety of childhood', 'Generalized anxiety of childhood', 'Excessive worry', 'Avoidance behavior']",Emotional disorders with onset specific to childhood,F93
Worldwide,"['Family dysfunction', 'Trauma/neglect', 'Social isolation']",Behavioural,"['Elective mutism (refusal to speak in certain situations)', 'Reactive attachment disorder (RAD)', 'Disinhibited social engagement disorder (DSED)', 'Poor social relationships', 'Withdrawal or inappropriate socialness', 'Onset in childhood']",Disorders of social functioning with onset specific to childhood,F94
Worldwide,"['Neurological factors', 'Stress', 'Genetics']",Behavioural,"['Involuntary, repetitive motor movements (tics)', 'Involuntary vocalizations (tics)', 'Tourette syndrome (both motor and vocal tics)', 'Transient tic disorder', 'Chronic motor or vocal tic disorder', 'Tics worsen with stress']",Tic disorders,F95
Worldwide,"['Stress', 'Developmental factors', 'Unknown etiology']",Behavioural,"['Enuresis (involuntary urination)', 'Encopresis (involuntary defecation)', 'Pica of infancy/childhood', 'Stuttering', 'Cluttering (rapid, disorganized speech)', 'Stereotyped movement disorders']",Other behavioural and emotional disorders with onset in childhood,F98
Worldwide,"['Insufficient data', 'Atypical presentation', 'Provisional diagnosis']",Unspecified,"['Psychological distress', 'Functional impairment', 'Does not meet full criteria for any other disorder', 'Atypical presentation of a known disorder', 'Symptoms are present but undefined', 'Used when diagnosis is uncertain']","Mental disorder, not otherwise specified",F99
Worldwide,"['droplet', 'direct_contact', 'bloodborne']",bacterial,"['severe_headache', 'fever', 'nuchal_rigidity', 'photophobia', 'confusion', 'vomiting']","Bacterial meningitis, not elsewhere classified",G00
"Varies (e.g., Africa)","['vector_borne', 'zoonotic', 'waterborne']",parasitic,"['headache', 'fever', 'stiff_neck', 'seizures', 'hallucinations', 'altered_mental_state']",Meningitis in other infectious and parasitic diseases,G01
Worldwide,"['non_infectious', 'secondary_disease', 'autoimmune']",autoimmune,"['headache', 'confusion', 'fever', 'seizures', 'mood_changes', 'cognitive_decline']",Meningitis in other specified diseases,G02
Worldwide,"['idiopathic', 'chemical', 'drug_induced']",idiopathic,"['headache', 'fever', 'nausea', 'stiff_neck', 'malaise', 'photophobia']",Meningitis due to other and unspecified causes,G03
Worldwide,"['viral', 'vector_borne', 'post_infectious']",viral,"['fever', 'headache', 'seizures', 'confusion', 'weakness', 'sensory_loss']","Encephalitis, myelitis and encephalomyelitis",G04
Worldwide,"['autoimmune', 'post_vaccinal', 'secondary_disease']",autoimmune,"['weakness', 'numbness', 'vision_loss', 'fever', 'headache', 'paralysis']","Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",G05
Worldwide,"['bacterial', 'fungal', 'direct_spread']",bacterial,"['headache', 'fever', 'focal_neurological_deficits', 'seizures', 'nausea', 'lethargy']",Intracranial and intraspinal abscess and granuloma,G06
"Varies (e.g., Americas)","['parasitic', 'fungal', 'secondary_disease']",parasitic,"['seizures', 'headache', 'hydrocephalus', 'focal_deficits', 'vision_changes', 'confusion']",Intracranial and intraspinal abscess and granuloma in diseases classified elsewhere,G07
Worldwide,"['post_infectious', 'post_surgical', 'hypercoagulable_state']",vascular,"['headache', 'seizures', 'focal_neurological_deficits', 'papilledema', 'vision_loss', 'altered_consciousness']",Intracranial and intraspinal phlebitis and thrombophlebitis,G08
Worldwide,"['not_applicable', 'post_infectious', 'chronic_phase']",post_infectious,"['cognitive_impairment', 'hearing_loss', 'vision_loss', 'motor_deficits', 'seizure_disorder', 'hydrocephalus']",Sequelae of inflammatory diseases of central nervous system,G09
Worldwide (European ancestry),"['genetic', 'autosomal_dominant', 'hereditary']",genetic,"['chorea', 'cognitive_decline', 'depression', 'irritability', 'poor_coordination', 'difficulty_swallowing']",Huntington's disease,G10
Worldwide,"['genetic', 'hereditary', 'autosomal_recessive']",genetic,"['gait_ataxia', 'dysarthria', 'nystagmus', 'loss_of_reflexes', 'scoliosis', 'cardiomyopathy']",Hereditary ataxia,G11
Worldwide,"['genetic', 'autosomal_recessive', 'hereditary']",genetic,"['progressive_muscle_weakness', 'hypotonia', 'absent_reflexes', 'difficulty_breathing', 'difficulty_swallowing', 'scoliosis']",Spinal muscular atrophy and related syndromes,G12
Worldwide,"['secondary_disease', 'prion', 'metabolic']",prion,"['rapid_cognitive_decline', 'myoclonus', 'ataxia', 'vision_problems', 'personality_changes', 'insomnia']",Systemic atrophies primarily affecting central nervous system in diseases classified elsewhere,G13
Worldwide (polio survivors),"['not_applicable', 'post_infectious', 'viral_sequelae']",post_infectious,"['new_muscle_weakness', 'fatigue', 'joint_pain', 'muscle_atrophy', 'cold_intolerance', 'breathing_difficulty']",Postpolio syndrome,G14
Worldwide,"['idiopathic', 'genetic_factors', 'environmental_factors']",degenerative,"['bradykinesia', 'resting_tremor', 'rigidity', 'postural_instability', 'shuffling_gait', 'masked_facies']",Parkinson's disease,G20
Worldwide,"['drug_induced', 'vascular', 'post_traumatic']",environmental_toxin,"['parkinsonian_symptoms', 'bradykinesia', 'rigidity', 'tremor', 'gait_disturbance', 'dementia']",Secondary parkinsonism,G21
Worldwide,"['secondary_disease', 'degenerative', 'infectious']",degenerative,"['parkinsonian_symptoms', 'ataxia', 'dementia', 'autonomic_dysfunction', 'oculomotor_problems', 'myoclonus']",Parkinsonism in diseases classified elsewhere,G22
Worldwide,"['genetic', 'idiopathic', 'degenerative']",degenerative,"['gait_instability', 'frequent_falls', 'supranuclear_gaze_palsy', 'dysarthria', 'dysphagia', 'cognitive_impairment']",Other degenerative diseases of basal ganglia,G23
Worldwide,"['idiopathic', 'genetic', 'post_traumatic']",idiopathic,"['involuntary_muscle_contractions', 'twisting_movements', 'abnormal_postures', 'task_specific_cramps', 'blepharospasm', 'torticollis']",Dystonia,G24
Worldwide,"['idiopathic', 'genetic', 'drug_induced']",idiopathic,"['action_tremor', 'head_tremor', 'voice_tremor', 'restless_legs', 'myoclonus', 'tics']",Other extrapyramidal and movement disorders,G25
Worldwide,"['secondary_disease', 'metabolic', 'infectious']",metabolic,"['tremor', 'dystonia', 'parkinsonism', 'psychiatric_symptoms', 'liver_disease', 'kayser_fleischer_rings']",Extrapyramidal and movement disorders in diseases classified elsewhere,G26
Worldwide,"['idiopathic', 'genetic_factors', 'age_related']",degenerative,"['memory_loss', 'confusion', 'language_difficulty', 'poor_judgement', 'mood_changes', 'disorientation']",Alzheimer's disease,G30
Worldwide,"['idiopathic', 'genetic', 'degenerative']",degenerative,"['cognitive_decline', 'visual_hallucinations', 'parkinsonism', 'fluctuating_alertness', 'rem_sleep_disorder', 'autonomic_dysfunction']","Other degenerative diseases of nervous system, not elsewhere classified",G31
Worldwide,"['secondary_disease', 'metabolic', 'vitamin_deficiency']",metabolic,"['numbness_tingling', 'weakness', 'ataxia', 'vision_changes', 'cognitive_impairment', 'spasticity']",Other degenerative disorders of nervous system in diseases classified elsewhere,G32
Worldwide (high-latitude),"['autoimmune', 'idiopathic', 'genetic_predisposition']",autoimmune,"['optic_neuritis', 'fatigue', 'numbness_tingling', 'spasticity', 'gait_difficulty', 'bladder_dysfunction']",Multiple sclerosis,G35
Worldwide,"['post_infectious', 'post_vaccinal', 'autoimmune']",autoimmune,"['fever', 'headache', 'confusion', 'seizures', 'weakness', 'vision_loss']",Other acute disseminated demyelination,G36
Worldwide,"['autoimmune', 'idiopathic', 'infectious']",autoimmune,"['optic_neuritis', 'transverse_myelitis', 'paralysis', 'sensory_loss', 'bladder_dysfunction', 'intractable_hiccups']",Other demyelinating diseases of central nervous system,G37
Worldwide,"['idiopathic', 'genetic', 'post_traumatic']",idiopathic,"['seizures', 'aura', 'loss_of_consciousness', 'convulsions', 'automatisms', 'postictal_confusion']",Epilepsy,G40
Worldwide,"['complication_of_epilepsy', 'metabolic_insult', 'infection']",complication,"['prolonged_seizure', 'recurrent_seizures_without_recovery', 'loss_of_consciousness', 'convulsive_movements', 'autonomic_instability', 'hyperthermia']",Status epilepticus,G41
Worldwide,"['idiopathic', 'genetic_predisposition', 'environmental_triggers']",idiopathic,"['throbbing_headache', 'nausea', 'photophobia', 'phonophobia', 'aura', 'vomiting']",Migraine,G43
Worldwide,"['idiopathic', 'vascular', 'autonomic']",idiopathic,"['severe_unilateral_headache', 'ipsilateral_autonomic_features', 'restlessness', 'lacrimation', 'nasal_congestion', 'ptosis']",Other headache syndromes,G44
Worldwide,"['vascular', 'thromboembolic', 'atherosclerosis']",vascular,"['transient_focal_neurological_deficit', 'slurred_speech', 'unilateral_weakness', 'vision_loss', 'dizziness', 'transient_aphasia']",Transient cerebral ischaemic attacks (TIA) and related syndromes,G45
Worldwide,"['vascular', 'stroke', 'hemorrhage']",vascular,"['hemiplegia', 'aphasia', 'hemisensory_loss', 'ataxia', 'diplopia', 'vertigo']",Vascular syndromes of brain in cerebrovascular diseases,G46
Worldwide,"['idiopathic', 'neurological', 'psychophysiological']",idiopathic,"['excessive_daytime_sleepiness', 'cataplexy', 'sleep_paralysis', 'hypnagogic_hallucinations', 'insomnia', 'sleep_apnea']",Sleep disorders,G47
Worldwide,"['idiopathic', 'vascular_compression', 'post_traumatic']",idiopathic,"['severe_facial_pain', 'electric_shock_pain', 'pain_triggered_by_touch', 'unilateral_pain', 'brief_paroxysms_of_pain', 'facial_numbness']",Trigeminal nerve disorders,G50
Worldwide,"['idiopathic', 'viral', 'autoimmune']",idiopathic,"['unilateral_facial_paralysis', 'inability_to_close_eye', 'facial_droop', 'hyperacusis', 'loss_of_taste', 'eye_dryness']",Facial nerve disorders,G51
Worldwide,"['vascular', 'compression', 'idiopathic']",vascular,"['throat_pain', 'ear_pain', 'swallowing_difficulty', 'diplopia', 'vertigo', 'hoarseness']",Disorders of other cranial nerves,G52
Worldwide,"['secondary_disease', 'infectious', 'neoplastic']",infectious,"['facial_palsy', 'diplopia', 'hearing_loss', 'vertigo', 'headache', 'meningitis_symptoms']",Cranial nerve disorders in diseases classified elsewhere,G53
Worldwide,"['physical_trauma', 'compression', 'autoimmune']",physical_trauma,"['arm_weakness', 'arm_numbness', 'arm_pain', 'paralysis_of_arm', 'loss_of_reflexes', 'muscle_atrophy']",Nerve root and plexus disorders,G54
Worldwide,"['secondary_disease', 'neoplastic', 'degenerative_disc_disease']",degenerative,"['radicular_pain', 'weakness_in_dermatome', 'numbness_in_dermatome', 'loss_of_reflexes', 'gait_difficulty', 'back_pain']",Nerve root and plexus compressions in diseases classified elsewhere,G55
Worldwide,"['compression', 'repetitive_strain', 'physical_trauma']",compression,"['hand_numbness', 'hand_tingling', 'hand_pain', 'weakness_of_grip', 'thenar_atrophy', 'night_symptoms']",Mononeuropathies of upper limb,G56
Worldwide,"['compression', 'physical_trauma', 'vascular']",compression,"['leg_pain', 'leg_numbness', 'leg_weakness', 'foot_drop', 'tingling_down_leg', 'loss_of_ankle_reflex']",Mononeuropathies of lower limb,G57
Worldwide,"['compression', 'idiopathic', 'post_surgical']",compression,"['focal_weakness', 'focal_numbness', 'focal_pain', 'muscle_atrophy', 'intercostal_neuralgia', 'focal_sensory_loss']",Other mononeuropathies,G58
Worldwide,"['secondary_disease', 'vascular', 'infectious']",vascular,"['acute_focal_pain', 'focal_weakness', 'focal_numbness', 'cranial_nerve_palsy', 'muscle_wasting', 'autonomic_symptoms']",Mononeuropathy in diseases classified elsewhere,G59
Worldwide,"['genetic', 'hereditary', 'idiopathic']",genetic,"['distal_weakness', 'distal_muscle_atrophy', 'high_arched_feet', 'sensory_loss', 'absent_reflexes', 'gait_difficulty']",Hereditary and idiopathic neuropathy,G60
