Geography,Transmission,DiseaseType,Symptoms,Label,ICD
global,sexual; respiratory; contact,bacterial,"['urethritis', 'cervicitis', 'conjunctivitis', 'pneumonitis', 'pelvic pain', 'discharge']",Other diseases caused by chlamydiae,A74
Africa; Asia; Latin America,louse-borne; flea-borne; mite-borne,bacterial,"['high fever', 'severe headache', 'myalgia', 'rash', 'cough', 'confusion']",Typhus fever,A75
global (tick habitats),tick-borne,bacterial,"['fever', 'headache', 'myalgia', 'eschar', 'rash', 'nausea']",Spotted fever [tick-borne rickettsioses],A77
global (livestock exposure),aerosol; animal birth products,bacterial,"['fever', 'pneumonia', 'hepatitis', 'headache', 'myalgia', 'night sweats']",Q fever,A78
global,tick-borne; mite-borne,bacterial,"['fever', 'rash', 'eschar', 'headache', 'myalgia', 'lymphadenopathy']",Other rickettsioses,A79
global (under-immunized),fecal-oral,viral,"['fever', 'asymmetric weakness', 'flaccid paralysis', 'myalgia', 'meningitis', 'respiratory symptoms']",Acute poliomyelitis,A80
global,iatrogenic; foodborne,viral,"['progressive dementia', 'ataxia', 'myoclonus', 'visual changes', 'behavioral change', 'akinetic mutism']",Atypical virus infections of central nervous system,A81
Asia; Africa; Latin America,bite,viral,"['paresthesia at bite', 'fever', 'agitation', 'hydrophobia', 'aerophobia', 'coma']",Rabies,A82
tropics; subtropics,mosquito-borne,viral,"['fever', 'headache', 'confusion', 'seizures', 'focal deficits', 'vomiting']",Mosquito-borne viral encephalitis,A83
Europe; Russia; East Asia,tick-borne,viral,"['fever', 'headache', 'neck stiffness', 'ataxia', 'paresis', 'encephalitis']",Tick-borne viral encephalitis,A84
global,vector-borne; respiratory,viral,"['fever', 'altered mental status', 'seizures', 'headache', 'vomiting', 'focal deficits']","Other viral encephalitis, NEC",A85
global,varied,viral,"['fever', 'headache', 'confusion', 'neck stiffness', 'seizures', 'photophobia']",Unspecified viral encephalitis,A86
global,fecal-oral; respiratory,viral,"['headache', 'fever', 'neck stiffness', 'photophobia', 'nausea', 'vomiting']",Viral meningitis,A87
global,varied,viral,"['fever', 'ataxia', 'encephalopathy', 'myelitis', 'neuropathy', 'rash']","Other viral infections of central nervous system, NEC",A88
global,varied,viral,"['fever', 'headache', 'malaise', 'neck stiffness', 'nausea', 'fatigue']",Unspecified viral infection of central nervous system,A89
tropics; subtropics (urban),mosquito-borne,viral,"['high fever', 'headache', 'retro-orbital pain', 'myalgia', 'arthralgia', 'rash']",Dengue fever,A90
tropics; subtropics,mosquito-borne,viral,"['plasma leakage', 'bleeding', 'thrombocytopenia', 'abdominal pain', 'vomiting', 'hepatomegaly']",Dengue haemorrhagic fever,A91
tropics; subtropics,mosquito-borne,viral,"['fever', 'rash', 'arthralgia', 'conjunctivitis', 'myalgia', 'headache']",Other mosquito-borne viral fevers,A92
tropics; subtropics,sandfly-borne; tick-borne; mite-borne,viral,"['fever', 'rash', 'myalgia', 'arthralgia', 'headache', 'fatigue']","Other arthropod-borne viral fevers, NEC",A93
tropics; subtropics,arthropod-borne,viral,"['fever', 'headache', 'myalgia', 'arthralgia', 'rash', 'malaise']",Unspecified arthropod-borne viral fever,A94
Africa; South America,mosquito-borne,viral,"['fever', 'jaundice', 'myalgia', 'bleeding', 'shock', 'renal failure']",Yellow fever,A95
West Africa; South America,rodent-borne; contact; aerosol,viral,"['fever', 'bleeding', 'shock', 'hepatitis', 'renal failure', 'encephalopathy']",Arenaviral haemorrhagic fevers,A96
Central Africa; East Africa,contact; aerosol; zoonotic,viral,"['fever', 'bleeding', 'vomiting', 'diarrhea', 'shock', 'multi-organ failure']","Other viral haemorrhagic fevers, NEC",A98
tropics; subtropics,contact; zoonotic,viral,"['fever', 'hemorrhage', 'shock', 'malaise', 'myalgia', 'renal failure']",Unspecified viral haemorrhagic fever,A99
