Geography,Transmission,Disease_Type,Symptoms,Label,ICD_Code
Global,non-communicable,non-infectious,"confusion, seizures, sweating, tremor, palpitations, loss_of_consciousness",Nondiabetic hypoglycemic coma,E15
Global,non-communicable,non-infectious,"hypoglycemia, sweating, tremor, palpitations, confusion, hunger",Other disorders of pancreatic internal secretion,E16
Global,"non-communicable, autoimmune",non-infectious,"muscle_cramps, tetany, paresthesia, seizures, dry_skin, brittle_nails",Hypoparathyroidism,E20
Global,non-communicable,non-infectious,"bone_pain, kidney_stones, polyuria, constipation, depression, osteoporosis",Hyperparathyroidism and other parathyroid disorders,E21
Global,non-communicable,non-infectious,"enlarged_hands, coarse_features, headache, sweating, joint_pain, hypertension",Hyperfunction of pituitary gland,E22
Global,non-communicable,non-infectious,"growth_failure, amenorrhea, fatigue, hypotension, cold_intolerance, hyponatremia",Hypofunction and other disorders of pituitary gland,E23
Global,"non-communicable, iatrogenic",non-infectious,"central_obesity, moon_face, purple_striae, hypertension, glucose_intolerance, muscle_weakness",Cushing's syndrome,E24
Global,"non-communicable, genetic",non-infectious,"ambiguous_genitalia, hirsutism, early_puberty, infertility, salt_wasting, hypotension",Adrenogenital disorders,E25
Global,non-communicable,non-infectious,"hypertension, hypokalemia, muscle_weakness, polyuria, headache, metabolic_alkalosis",Hyperaldosteronism,E26
Global,"non-communicable, autoimmune",non-infectious,"fatigue, hypotension, hyperpigmentation, weight_loss, nausea, hyponatremia",Other disorders of adrenal gland,E27
Global,non-communicable,non-infectious,"amenorrhea, infertility, hirsutism, acne, hot_flashes, irregular_menses",Ovarian dysfunction,E28
Global,non-communicable,non-infectious,"decreased_libido, erectile_dysfunction, infertility, gynecomastia, muscle_loss, fatigue",Testicular dysfunction,E29
Global,non-communicable,non-infectious,"precocious_puberty, delayed_puberty, short_stature, acne, mood_changes, amenorrhea","Disorders of puberty, not elsewhere classified",E30
Global,"non-communicable, autoimmune",non-infectious,"fatigue, recurrent_candidiasis, hypocalcemia, hyperpigmentation, hypotension, alopecia",Polyglandular dysfunction,E31
Global,non-communicable,non-infectious,"chest_pain, cough, dyspnea, myasthenia_gravis, dysphagia, hoarseness",Diseases of thymus,E32
Global,non-communicable,non-infectious,"hormone_imbalance, fatigue, weight_change, headache, mood_changes, weakness",Diseases of other endocrine glands,E33
Global,non-communicable,non-infectious,"galactorrhea, hirsutism, gynecomastia, electrolyte_imbalance, fatigue, weight_change",Other endocrine disorders,E34
Global,"non-communicable, secondary",non-infectious,"weight_change, fatigue, hypercalcemia, hyponatremia, hypoglycemia, flushing",Endocrine disorders in diseases classified elsewhere,E35
Global,"non-communicable, iatrogenic",non-infectious,"bleeding, hypotension, airway_compromise, hypocalcemia, hoarseness, pain",Intraoperative complications of endocrine system,E36
Sub-Saharan Africa,"non-communicable, dietary",non-infectious,"edema, hepatomegaly, dermatitis, hair_changes, apathy, stunted_growth",Kwashiorkor,E40
South Asia,"non-communicable, dietary",non-infectious,"severe_wasting, stunted_growth, weakness, irritability, hypothermia, bradycardia",Nutritional marasmus,E41
Africa,"non-communicable, dietary",non-infectious,"wasting, edema, hepatomegaly, dermatitis, hair_changes, stunted_growth",Marasmic kwashiorkor,E42
Africa,"non-communicable, dietary",non-infectious,"wasting, edema, immune_deficit, anemia, hypoglycemia, infections",Unspecified severe protein-energy malnutrition,E43
South Asia,"non-communicable, dietary",non-infectious,"underweight, stunted_growth, fatigue, hair_changes, irritability, poor_concentration",Moderate and mild protein-energy malnutrition,E44
Africa,"non-communicable, dietary",non-infectious,"stunted_growth, learning_difficulties, delayed_milestones, weakness, susceptible_infections, apathy",Retarded development following protein-energy malnutrition,E45
Africa,"non-communicable, dietary",non-infectious,"underweight, wasting, hair_changes, dermatitis, fatigue, immune_deficit",Unspecified protein-energy malnutrition,E46
South Asia,"non-communicable, dietary",non-infectious,"night_blindness, xerophthalmia, Bitot_spots, dry_skin, frequent_infections, growth_retardation",Vitamin A deficiency,E50
Southeast Asia,"non-communicable, dietary, alcohol_related",non-infectious,"paresthesia, weakness, heart_failure, edema, confusion, ataxia",Thiamine deficiency,E51
Africa,"non-communicable, dietary",non-infectious,"dermatitis, diarrhea, dementia, glossitis, photosensitivity, stomatitis",Niacin deficiency [pellagra],E52
Global,"non-communicable, dietary",non-infectious,"dermatitis, glossitis, cheilosis, irritability, seizures, anemia",Other B group vitamin deficiencies,E53
Global,"non-communicable, dietary",non-infectious,"bleeding_gums, petechiae, joint_pain, poor_wound_healing, anemia, fatigue",Ascorbic acid deficiency,E54
Europe,"non-communicable, dietary, low_sunlight",non-infectious,"bone_pain, fractures, rickets, osteomalacia, muscle_weakness, deformities",Vitamin D deficiency,E55
Global,"non-communicable, dietary",non-infectious,"neuropathy, ataxia, retinopathy, bleeding, dermatitis, weakness",Other vitamin deficiencies,E56
Global,"non-communicable, dietary",non-infectious,"muscle_cramps, tetany, osteoporosis, paresthesia, seizures, dental_caries",Dietary calcium deficiency,E58
China,"non-communicable, dietary",non-infectious,"cardiomyopathy, muscle_pain, hair_loss, infertility, hypothyroidism, fatigue",Dietary selenium deficiency,E59
South Asia,"non-communicable, dietary",non-infectious,"alopecia, dermatitis, impaired_immunity, diarrhea, growth_retardation, hypogonadism",Dietary zinc deficiency,E60
Global,"non-communicable, dietary",non-infectious,"fatigue, pallor, hair_loss, impaired_immunity, neuropathy, dermatitis",Deficiency of other nutrient elements,E61
Global,"non-communicable, dietary",non-infectious,"fatigue, weight_loss, weakness, edema, hair_changes, immune_deficit",Other nutritional deficiencies,E63
Global,"non-communicable, dietary",non-infectious,"stunted_growth, developmental_delay, osteoporosis, cognitive_impairment, anemia, weakness",Sequelae of malnutrition and other nutritional deficiencies,E64
Global,non-communicable,non-infectious,"cosmetic_concern, limited_mobility, back_pain, joint_pain, skin_folds, intertrigo",Localized adiposity,E65
Americas,"non-communicable, lifestyle, genetic",non-infectious,"snoring, daytime_sleepiness, joint_pain, dyspnea, hypertension, GERD",Overweight and obesity,E66
Global,"non-communicable, dietary",non-infectious,"headache, nausea, bone_pain, hepatotoxicity, irritability, alopecia",Other hyperalimentation,E67
Global,non-communicable,non-infectious,"insulin_resistance, hypertension, dyslipidemia, fatty_liver, sleep_apnea, osteoarthritis",Sequelae of hyperalimentation,E68
Global,"non-communicable, genetic",non-infectious,"developmental_delay, seizures, musty_odor, eczema, microcephaly, behavioral_problems",Disorders of aromatic amino-acid metabolism,E70
Global,"non-communicable, genetic",non-infectious,"vomiting, lethargy, hypotonia, seizures, developmental_delay, failure_to_thrive",Disorders of branched-chain amino-acid and fatty-acid metabolism,E71
Global,"non-communicable, genetic",non-infectious,"developmental_delay, seizures, vomiting, ataxia, failure_to_thrive, hypotonia",Other disorders of amino-acid metabolism,E72
Europe,"non-communicable, genetic",non-infectious,"bloating, abdominal_pain, diarrhea, flatulence, nausea, cramps",Lactose intolerance,E73
Global,"non-communicable, genetic",non-infectious,"hypoglycemia, hepatomegaly, muscle_weakness, exercise_intolerance, lactic_acidosis, failure_to_thrive",Other disorders of carbohydrate metabolism,E74
Global,"non-communicable, genetic",non-infectious,"hepatosplenomegaly, neurodegeneration, hypotonia, developmental_delay, vision_loss, regression",Disorders of sphingolipid metabolism and other lipid storage disorders,E75
Global,"non-communicable, genetic",non-infectious,"coarse_facial_features, hepatosplenomegaly, joint_stiffness, developmental_delay, corneal_clouding, skeletal_dysplasia",Disorders of glycosaminoglycan metabolism,E76
Global,"non-communicable, genetic",non-infectious,"failure_to_thrive, hepatomegaly, developmental_delay, hypotonia, skeletal_anomalies, ataxia",Disorders of glycoprotein metabolism,E77
Global,"non-communicable, genetic, lifestyle",non-infectious,"xanthomas, pancreatitis, corneal_arcus, atherosclerosis, chest_pain, fatigue",Disorders of lipoprotein metabolism and other lipidemias,E78
Global,"non-communicable, genetic",non-infectious,"joint_pain, swelling, redness, kidney_stones, pruritus, fatigue",Disorders of purine and pyrimidine metabolism,E79
Europe,"non-communicable, genetic",non-infectious,"photosensitivity, abdominal_pain, neuropathy, dark_urine, tachycardia, psychiatric_symptoms",Disorders of porphyrin and bilirubin metabolism,E80
Global,non-communicable,non-infectious,"bone_pain, fractures, muscle_cramps, arrhythmia, nephrolithiasis, weakness",Disorders of mineral metabolism,E83
Europe,"non-communicable, genetic",non-infectious,"chronic_cough, recurrent_infections, steatorrhea, failure_to_thrive, salty_sweat, infertility",Cystic fibrosis,E84
Global,non-communicable,non-infectious,"weight_loss, fatigue, neuropathy, proteinuria, cardiomyopathy, hepatomegaly",Amyloidosis,E85
Global,non-communicable,non-infectious,"thirst, hypotension, tachycardia, dry_mucosa, oliguria, dizziness",Volume depletion,E86
Global,non-communicable,non-infectious,"confusion, arrhythmia, weakness, cramps, edema, seizures","Other disorders of fluid, electrolyte and acid-base balance",E87
Global,non-communicable,non-infectious,"fatigue, hepatomegaly, neuropathy, acidosis, hypotonia, failure_to_thrive",Other metabolic disorders,E88
Global,"non-communicable, iatrogenic",non-infectious,"fatigue, hypocalcemia, hypothyroidism, hoarseness, weight_change, heat_cold_intolerance","Postprocedural endocrine and metabolic complications and disorders, NEC",E89
