Geography,Transmission,DiseaseType,Symptoms,DiseaseName,ICDCode
Global,"degenerative,noncommunicable,mechanical",non-infectious,"thumb_base_pain,grip_weakness,swelling,stiffness,decreased_pinch,crepitus",First carpometacarpal joint osteoarthritis,M18
Global,"degenerative,noncommunicable,mechanical",non-infectious,"joint_pain,stiffness,swelling,crepitus,bony_nodes,limited_motion",Other and unspecified osteoarthritis,M19
Global,"noncommunicable,mechanical,structural",non-infectious,"toe_deformity,bunion_pain,callus,footwear_pain,overlapping_toes,limited_motion",Acquired deformities of fingers and toes,M20
Global,"noncommunicable,mechanical,structural",non-infectious,"limb_deformity,gait_abnormality,pain,limited_range_of_motion,muscle_imbalance,unequal_leg_length",Other acquired deformities of limbs,M21
Global,"noncommunicable,mechanical,overuse",non-infectious,"anterior_knee_pain,crepitus,instability,swelling,locking,stiffness",Disorders of patella,M22
Global,"noncommunicable,mechanical,traumatic",non-infectious,"locking,giving_way,knee_pain,swelling,clicking,stiffness",Internal derangement of knee,M23
Global,"noncommunicable,mechanical,traumatic",non-infectious,"joint_instability,contracture,loose_bodies,locking,pain,stiffness",Other specific joint derangements,M24
Global,"noncommunicable,mechanical,degenerative",non-infectious,"arthralgia,effusion,stiffness,instability,crepitus,reduced_motion",Other joint disorders,M25
Global,"noncommunicable,developmental,structural",non-infectious,"malocclusion,jaw_pain,tmj_click,chewing_difficulty,facial_asymmetry,bruxism",Dentofacial anomalies [including malocclusion],M26
Global,"noncommunicable,structural,iatrogenic",non-infectious,"jaw_pain,swelling,trismus,paresthesia,loose_teeth,fistula",Other diseases of jaws,M27
Global,"noncommunicable,mechanical,metabolic",non-infectious,"bone_pain,deformity,fracture_risk,swelling,stiffness,reduced_function",Other disorders of bones and joints,M28
Global,"noncommunicable,autoimmune,vasculitic",non-infectious,"fever,weight_loss,myalgia,arthralgia,neuropathy,skin_nodules",Polyarteritis nodosa and related conditions,M30
Global,"noncommunicable,autoimmune,vasculitic",non-infectious,"fever,purpura,neuropathy,arthralgia,organ_dysfunction,fatigue",Other necrotizing vasculopathies,M31
Global,"noncommunicable,autoimmune,systemic",non-infectious,"fatigue,arthralgia,photosensitive_rash,oral_ulcers,serositis,fever",Systemic lupus erythematosus,M32
Global,"noncommunicable,autoimmune,inflammatory",non-infectious,"proximal_weakness,myalgia,rash,fatigue,dysphagia,elevated_ck",Dermatopolymyositis,M33
Global,"noncommunicable,autoimmune,vasculopathic",non-infectious,"skin_thickening,raynaud_phenomenon,dysphagia,dyspnea,arthralgia,digital_ulcers",Systemic sclerosis (scleroderma),M34
Global,"noncommunicable,autoimmune,systemic",non-infectious,"dry_mouth,dry_eyes,fatigue,arthralgia,parotid_swelling,myalgia",Other systemic involvement of connective tissue,M35
Global,"secondary,noncommunicable,autoimmune",non-infectious,"arthralgia,rash,fever,organ_involvement,fatigue,stiffness",Systemic connective tissue disorders in diseases elsewhere,M36
Global,"noncommunicable,structural,mechanical",non-infectious,"back_pain,visible_deformity,stiffness,fatigue,muscle_spasm,reduced_flexibility",Kyphosis and lordosis,M40
Global,"noncommunicable,structural,mechanical",non-infectious,"spinal_curve,back_pain,rib_hump,uneven_shoulders,fatigue,reduced_lung_capacity",Scoliosis,M41
Global,"noncommunicable,developmental,mechanical",non-infectious,"back_pain,stiffness,kyphosis,reduced_flexibility,muscle_tightness,fatigue",Spinal osteochondrosis,M42
Global,"noncommunicable,structural,mechanical",non-infectious,"spondylolisthesis,back_pain,stiffness,radicular_pain,instability,muscle_spasm",Other deforming dorsopathies,M43
Europe,"noncommunicable,autoimmune,inflammatory",non-infectious,"inflammatory_back_pain,morning_stiffness,sacroiliac_pain,reduced_spinal_mobility,fatigue,enthesitis",Ankylosing spondylitis,M45
Global,"noncommunicable,autoimmune,inflammatory",non-infectious,"back_pain,stiffness,fever,weight_loss,peripheral_arthritis,enthesitis",Other inflammatory spondylopathies,M46
Global,"noncommunicable,degenerative,mechanical",non-infectious,"neck_pain,back_pain,stiffness,radiculopathy,limited_motion,crepitus",Spondylosis,M47
Global,"noncommunicable,degenerative,mechanical",non-infectious,"spinal_stenosis,neurogenic_claudication,back_pain,numbness,weakness,balance_problems",Other spondylopathies,M48
Global,"secondary,noncommunicable,degenerative",non-infectious,"back_pain,stiffness,deformity,neurologic_deficit,fever,weight_loss",Spondylopathies in diseases elsewhere,M49
Global,"noncommunicable,degenerative,mechanical",non-infectious,"neck_pain,radiculopathy,numbness,weakness,limited_motion,headache",Cervical disc disorders,M50
Global,"noncommunicable,degenerative,mechanical",non-infectious,"low_back_pain,sciatica,numbness,weakness,limited_motion,paresthesia",Other intervertebral disc disorders,M51
Global,"noncommunicable,mechanical,degenerative",non-infectious,"back_pain,stiffness,muscle_spasm,reduced_flexibility,posture_abnormality,fatigue","Other dorsopathies, not elsewhere classified",M52
Global,"noncommunicable,mechanical,degenerative",non-infectious,"back_pain,neck_pain,stiffness,muscle_tenderness,limited_motion,headache",Other and unspecified dorsopathies,M53
Global,"noncommunicable,mechanical,degenerative",non-infectious,"low_back_pain,neck_pain,sciatica,muscle_spasm,stiffness,limited_motion",Dorsalgia,M54
Global,"noncommunicable,autoimmune,inflammatory",non-infectious,"muscle_pain,weakness,swelling,tenderness,fever,fatigue",Myositis,M60
Global,"noncommunicable,metabolic,post_traumatic",non-infectious,"muscle_stiffness,palpable_mass,pain,limited_motion,weakness,swelling",Calcification and ossification of muscle,M61
Global,"noncommunicable,metabolic,mechanical",non-infectious,"muscle_weakness,cramps,contracture,atrophy,fatigue,myalgia",Other disorders of muscle,M62
Global,"secondary,noncommunicable,metabolic",non-infectious,"muscle_weakness,pain,wasting,fatigue,cramps,stiffness",Disorders of muscle in diseases elsewhere,M63
Global,"noncommunicable,overuse,mechanical",non-infectious,"joint_pain,tendon_pain,swelling,crepitus,stiffness,triggering",Synovitis and tenosynovitis,M65
Global,"noncommunicable,degenerative,overuse",non-infectious,"sudden_pain,weakness,swelling,deformity,loss_of_function,ecchymosis",Spontaneous rupture of synovium and tendon,M66
Global,"noncommunicable,overuse,mechanical",non-infectious,"contracture,ganglion,snapping,stiffness,pain,swelling",Other disorders of synovium and tendon,M67
Global,"secondary,noncommunicable,overuse",non-infectious,"pain,swelling,stiffness,contracture,weakness,limited_motion",Disorders of synovium and tendon in diseases elsewhere,M68
Global,"noncommunicable,overuse,pressure",non-infectious,"bursitis,tendinopathy,pain,swelling,stiffness,tenderness","Soft tissue disorders related to use, overuse and pressure",M70
Global,"noncommunicable,overuse,mechanical",non-infectious,"bursal_swelling,localized_pain,warmth,limited_motion,tenderness,erythema",Other bursopathies,M71
Europe,"noncommunicable,proliferative,mechanical",non-infectious,"palmar_nodules,finger_contracture,plantar_pain,stiffness,skin_thickening,limited_grip",Fibroblastic disorders,M72
Global,"secondary,noncommunicable,overuse",non-infectious,"pain,swelling,nodules,stiffness,limited_motion,tenderness",Soft tissue disorders in diseases elsewhere,M73
Global,"noncommunicable,overuse,mechanical",non-infectious,"shoulder_pain,impingement,weakness,night_pain,stiffness,limited_abduction",Shoulder lesions,M75
Global,"noncommunicable,overuse,mechanical",non-infectious,"heel_pain,tendon_pain,swelling,stiffness,activity_pain,tenderness",Enthesopathies of lower limb,M76
Global,"noncommunicable,overuse,mechanical",non-infectious,"lateral_elbow_pain,medial_elbow_pain,heel_pain,stiffness,weakness,tenderness",Other enthesopathies,M77
Global,"noncommunicable,mechanical,functional",non-infectious,"myalgia,soft_tissue_pain,tenderness,fatigue,paresthesia,swelling",Other and unspecified soft tissue disorders,M79
Global,"noncommunicable,metabolic,fragility",non-infectious,"acute_pain,fracture,height_loss,kyphosis,reduced_mobility,tenderness",Osteoporosis with current pathological fracture,M80
Global,"noncommunicable,metabolic,fragility",non-infectious,"asymptomatic,fragility_risk,height_loss,back_pain,kyphosis,reduced_bone_density",Osteoporosis without current pathological fracture,M81
Global,"secondary,noncommunicable,metabolic",non-infectious,"bone_fragility,fracture_risk,back_pain,height_loss,kyphosis,reduced_bone_density",Osteoporosis in diseases elsewhere,M82
Global,"noncommunicable,metabolic,vitamin_d_deficiency",non-infectious,"bone_pain,muscle_weakness,fractures,waddling_gait,hypocalcemia,tenderness",Adult osteomalacia,M83
Global,"noncommunicable,traumatic,mechanical",non-infectious,"pathologic_fracture,nonunion,malunion,pain,deformity,limited_function",Disorders of continuity of bone,M84
Global,"noncommunicable,metabolic,structural",non-infectious,"osteopenia,bone_pain,fragility_risk,deformity,stress_fracture,tenderness",Other bone density and structure disorders,M85
Global,"hematogenous,contiguous_spread,direct_inoculation",bacterial,"bone_pain,fever,swelling,warmth,reduced_use,sinus_tract",Osteomyelitis,M86
Global,"noncommunicable,ischemic,steroid_related",non-infectious,"joint_pain,stiffness,collapse_risk,limp,limited_motion,night_pain",Osteonecrosis,M87
Europe,"noncommunicable,metabolic,remodeling_disorder",non-infectious,"bone_pain,deformity,warmth,hearing_loss,elevated_alk_phosphatase,fracture",Paget disease of bone,M88
Global,"noncommunicable,structural,metabolic",non-infectious,"bone_pain,deformity,swelling,limited_motion,tenderness,fracture_risk",Other disorders of bone,M89
Global,"secondary,noncommunicable,metabolic",non-infectious,"bone_pain,fragility,deformity,fractures,tenderness,limited_motion",Osteopathies in diseases elsewhere,M90
Global,"noncommunicable,developmental,ischemic",non-infectious,"hip_pain,limp,limited_abduction,thigh_pain,stiffness,reduced_range",Juvenile osteochondrosis of hip and pelvis,M91
Global,"noncommunicable,developmental,overuse",non-infectious,"heel_pain,knee_pain,activity_pain,swelling,tenderness,stiffness",Other juvenile osteochondrosis,M92
Global,"noncommunicable,developmental,mechanical",non-infectious,"joint_pain,loose_bodies,locking,stiffness,swelling,catching",Other osteochondropathies,M93
Global,"noncommunicable,degenerative,mechanical",non-infectious,"chondromalacia,joint_pain,crepitus,swelling,stiffness,limited_motion",Other disorders of cartilage,M94
Global,"noncommunicable,structural,mechanical",non-infectious,"deformity,pain,functional_limitations,stiffness,gait_abnormality,cosmetic_concern",Other acquired deformities of musculoskeletal system,M95
Global,"iatrogenic,noncommunicable,mechanical",non-infectious,"pain,instability,nonunion,hardware_complication,stiffness,infection",Postprocedural musculoskeletal disorders,M96
Global,"iatrogenic,traumatic,mechanical",non-infectious,"acute_pain,swelling,instability,limb_deformity,inability_to_bear_weight,hardware_failure",Periprosthetic fracture around internal prosthetic joint,M97
Global,"noncommunicable,mechanical,structural",non-infectious,"hypermobility,instability,pain,stiffness,muscle_spasm,gait_abnormality","Other musculoskeletal disorders, not elsewhere classified",M98
Global,"noncommunicable,mechanical,structural",non-infectious,"segmental_dysfunction,restricted_motion,somatic_dysfunction,pain,muscle_tenderness,malalignment","Biomechanical lesions, not elsewhere classified",M99
